filler,total_volume,last_trade_date
4SRzHK9nUsqv2V1DtVJRY3S4eiydMda9MstVbdzQRULt,6.927804659911005e+06,2025-02-21 21:10:09.000 UTC
AQge6hinmJmfy2WSrobWfZ97zNfzhQKwttgtxkuB1bFo,6.593149851811e+06,2025-02-22 01:46:15.000 UTC
4y89nCQCUewvVsdKv2o71Ri3frGUUJsjBdPxtJzY5FuE,6.271360088053004e+06,2025-02-22 02:51:23.000 UTC
B4XPRYfUU7pvTEfDa9vRH6vEDbBXmzJMKvnL6X3m591,6.136031123158997e+06,2025-01-20 03:19:42.000 UTC
Gi5soUyrYvMcf6cZrEjF3PWmL67bGFx5sGFUkjYbiKGX,5.756992363328001e+06,2025-02-22 01:37:48.000 UTC
9c7LEsqvB2cA4554uXoWQL3sBPPBfcFZMMxzmXnxLs5w,5.086381825371999e+06,2025-02-21 20:52:38.000 UTC
EqdmAtwJjYdiFYMjxS1hk2TEGKPr9Eh2ebzoQjKw6ZHM,4.500791253272002e+06,2025-02-10 13:32:28.000 UTC
EJsocoaG7jUStdHCCiADqDHNVPXMZHdMFMrKjUjGdS2P,4.458782697516e+06,2025-01-31 12:57:25.000 UTC
DA8Ns5ew3AiM28tqWE8x9YbLtHb1QtJv6LDjnHRoarVn,4.203524768494e+06,2025-02-21 22:06:07.000 UTC
CMiyE7M98DSPBEhQGTA6CzNodWkNuuW4y9HoocfK75nG,3.9864385369759994e+06,2025-02-22 01:04:25.000 UTC
9hR41AyjQPq2JbgxwqPqQJuk2LPd5q5ttAxnRBfLzj53,3.585858618238e+06,2025-02-19 03:09:32.000 UTC
7FkFZz1mxwvZN9rJMzfAitGW3ZrEritLxqEkmPaxaTr8,3.528963056651999e+06,2025-02-17 16:51:19.000 UTC
9a7iDHihFnHHpDE43Ls5z1Eh4i5hfCmncyiXPjJgQJ34,3.1576224690200007e+06,2025-02-11 17:27:37.000 UTC
GnZEPhR8H6mcT28XkaT9FxgRhUcHYduJkvaD6qFytrp6,2.9625578222109997e+06,2025-01-22 07:04:33.000 UTC
2oDyzGFUzLmKTAcu3ua1gHeVk3enLNMrYST3nojhf5qp,2.761232226027999e+06,2025-02-21 19:27:06.000 UTC
8uZ92cGz39yZYR7EoqDbk29R6vEJp1Pre88QdHG5gBhJ,2.7043118124829987e+06,2025-02-21 19:31:35.000 UTC
2XnEYxNovTmYDXkDb7zninKttt3j9i67sj96H7CV5wZw,2.7009864537480003e+06,2025-02-21 10:09:07.000 UTC
ARLwHJ3CYLkVTeW3nHvPBmGQ7SLQdhZbAkWHzYrq57rt,2.6708231668809997e+06,2025-02-20 03:51:38.000 UTC
Hcs63usAc6cxWccycrVwx1mrNgNSpUZaUgFm7Lw9tSkR,2.622016977733999e+06,2025-02-21 09:56:32.000 UTC
2wvp7HugpccawPcuJ4rTtPg56vDAbotAJkm5EdVsq5jW,2.5745601666860003e+06,2025-02-21 22:01:12.000 UTC
A4dtgsjWe5R78GUbQxdwWgfNYX4D5yyoDwuW7QJ8HkUR,2.5036641455660006e+06,2025-02-01 01:16:48.000 UTC
9Zmn9v5A2YWUQj47bkEmcnc37ZsYe83rsRK8VV2j1UqX,2.491920848581001e+06,2025-02-20 05:55:20.000 UTC
4KvPuh1wG8j1pLnZUC5CuqTm2a41PWNtik1NwpLoRquE,2.438862549001e+06,2025-02-21 23:52:13.000 UTC
4QjGxizwuSeLxa6ssPmzxGossA8YYU7cRhoquXDPwhtD,2.118620253718001e+06,2025-02-22 03:14:37.000 UTC
D7WQu1PFxGukWPrV25L3qa8Xv6sQWV21qzVHHwStenNW,2.0945805075130004e+06,2025-02-22 00:55:02.000 UTC
J8n7VoZAJFXxG5xTTxTqsQpYpmvPdPjar9DaZJSrmPCc,2.0487524143449997e+06,2025-02-22 02:11:23.000 UTC
CZjLPsVBMFDfstqxzAfLCCLHsXTcnmVsTee6QQyseip4,1.975587082843001e+06,2025-02-11 21:01:37.000 UTC
3VtoXM66CK7pcxuLpC2CQkNYqkqKuGsw2hoqytp9BoV2,1.8450557928799998e+06,2025-02-22 01:37:47.000 UTC
FyH3qGRQSG7AmdEsPEVDxdJJLnLhAn3CZ48acQU34LFr,1.7163752293319993e+06,2025-02-21 13:57:46.000 UTC
FbjtPf9SGeCQp8ok66Vw8A9Pe128HBJNLQZPqZuYD3g,1.601246333627e+06,2025-02-22 02:40:37.000 UTC
84KSz3DBxrT1m3vR3MezygRztkzPCF3jYuWS1V26NbSn,1.5953821131929995e+06,2025-02-22 03:28:43.000 UTC
9U4XmuWhVmmjHuNTG4S4ELrvVxfHfcph11fKwkoiQ17i,1.5769494852570002e+06,2025-01-18 03:38:11.000 UTC
MzEPFp2LwCSMMPHLQsqfE7SN6xkPHZ8Uym2HfrH7g5P,1.5639679305000002e+06,2025-02-22 02:25:23.000 UTC
F1X4HsMnDp1L9CUBA6bRwAGUFrKHJMk1chzYBLks4nwE,1.483541271329e+06,2025-02-21 13:02:19.000 UTC
7ET5e3hrmr9iiGd1cypSd9cuUX8A2FjqSWNAv1fvKEoX,1.4508414952930005e+06,2025-02-22 03:34:36.000 UTC
G4g3tdPNMnf1qMXvBvbmPHW3wMj4YEn5R59h95p7QdsR,1.32332504708e+06,2025-02-22 02:25:12.000 UTC
2qYp5F9tu6ELXLbiwLm8pfs9u8abCSBd9h2Tcb8Zn3KR,1.2912639717320001e+06,2025-01-28 19:27:24.000 UTC
GK3Jo3xBLqyYFENpHD3JjvqqKmHcHRdU9do7BXZKYwDq,1.2595681599410004e+06,2025-02-21 22:44:02.000 UTC
3AETXtC3rT8EGLXwcigFU1QDND5CbB24BuQt4GWf3Unw,1.118790227056e+06,2025-01-10 16:37:02.000 UTC
34FbJBk7nJ8uBK8Vzy9xtdLrhZmEtupxXRugKpK4jmao,1.0906841713150002e+06,2025-02-12 21:31:15.000 UTC
J3UQCv4E394nn8XmLH7A6MynEfhc9yU2Eya3mMBqSVi8,1.0684263490020002e+06,2025-02-22 00:26:21.000 UTC
Fwfu73gfD5KzqtSAVKqmW414rshmYpoHY4nJ8LWqPyHB,1.0088610222169998e+06,2025-02-21 13:19:23.000 UTC
HTT6FiW5TcTqTkXYubpqoUAbrwA5btJGm8WBi9cWVBEz,984840.8103839997,2025-01-31 19:06:23.000 UTC
Dy4Sd5TjNgkD9vdEHb1uCfMNuVnpxPgMGxeLzmGK9j6x,908841.6382440001,2025-02-22 02:20:18.000 UTC
8U8WyNtGpznjuJMLdVEuYKq3G6VejvKYAZizoYEuu2GM,889776.7986489998,2025-02-21 17:04:30.000 UTC
3CTgSqfQPWsFCjQmJx45JgVWgqEWau5ec55tsQDxW8gM,848303.9416180002,2025-02-21 10:08:23.000 UTC
9pTNeLg3zgYjE6fKeaDqfFAm2UpZ7tSZHHjJJw1Zmnaw,834472.981784,2025-02-21 19:47:03.000 UTC
bxPKvMJ2oWYLMeBXbm6c2C5mbfxnya1SxyaFitUcQFF,814496.0359759997,2025-01-25 06:18:24.000 UTC
7gnC9MqVnxXPWPFYfB4vCKy3t91UbDVLZAXCfRGpwsZL,793017.9362969999,2025-02-15 03:36:20.000 UTC
AvEYADXYKCbn7z81F2GxFijNpBSEAvu84Jv2pHaDLZaM,743290.4038720002,2025-02-21 10:50:49.000 UTC
3BWfL6sGXMhLZaSbj5D7DYy2tFrjxV7gBdyrnVbcKnEi,720949.292119,2025-02-19 16:46:27.000 UTC
