blockchain,vault,name,description,entity
ethereum,0x0DE3821015518a6179A51d27Bc7ed4a0a3C45b52,MEV Capital ETH+ Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0xb07bf05AF5a13D357AA1220c661BB0FB791beDcb,MEV Capital weETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0xE3ea69f8661FFac04E269f99C14ba73e2Bb10633,MEV Capital ezETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0x9913790dD5d3d8389f682a15e4Fa90a22891ff49,MEV Capital rsETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0xc5Ff8Dde483903ffd2fbE5bf54a02B80F2baE7F7,MEV Capital amphrETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0xFc1b4e3D8291746CCdEb813805C8912BBE0a7316,MEV Capital steakLRT Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0xe00A44e1210BAe0EACEeeaF202c349d4B16480FE,MEV Capital pzETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0x463Af6Add7b5806cF0EA30ec30F2030bF4F05175,MEV Capital rstETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0xe2D6A2a16ff6d3bbc4C90736A7e6F7Cc3C9B8fa9,MEV Capital WETH Borrowable,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0x1334d0E5ca5855A803998fcC78548142BEF36e3B,MEV Capital wstETH Borrowable,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0xd820C8129a853a04dC7e42C64aE62509f531eE5A,Idle DAO Fasanara USDC Credit Vault Escrow,Component of the Idle DAO USDC Vault backed by credit vaults,idle
ethereum,0x166d8B62E1748D04eDf39d0078F1Fe4aA01D475E,Idle DAO USDC Vault,The Idle DAO USDC Vault for Credit Vault,idle
ethereum,0xce45EF0414dE3516cAF1BCf937bF7F2Cf67873De,Stablecoin Maxi USDC,The Stablecoin Maxi USDC vault,"['re7-labs', 'mev-capital', 'k3']"
ethereum,0x8dDE384022D4dE1D6C67891a8865f551c444dc4C,Stablecoin Maxi sUSDe,The Stablecoin Maxi sUSDe vault,"['re7-labs', 'mev-capital', 'k3']"
ethereum,0xAc73efA7696DC1c1617BbC20aeC64422c8b70EDa,Stablecoin Maxi USDe,The Stablecoin Maxi USDe vault,"['re7-labs', 'mev-capital', 'k3']"
ethereum,0xe3eb096CD9A87c271567b0134f6dE061c112A9E7,Stablecoin Maxi USD0,The Stablecoin Maxi USD0 vault,"['re7-labs', 'mev-capital', 'k3']"
ethereum,0x586719300c3966130B3Ce15F563b1080271193E8,Stablecoin Maxi USDY,The Stablecoin Maxi USDY vault,"['re7-labs', 'mev-capital', 'k3']"
ethereum,0x117576B8854a03aB7C3dF1Cf1cd8E04767BfA866,Stablecoin Maxi stUSD,The Stablecoin Maxi stUSD vault,"['re7-labs', 'mev-capital', 'k3']"
ethereum,0xBd9A8701B0F56b758bCd4aCe08DAF097e236E0CB,Stablecoin Maxi USDS,The Stablecoin Maxi USDS vault,"['re7-labs', 'mev-capital', 'k3']"
ethereum,0xe3b66cA897B4B844d5a8ee7A30982FAc0d126760,Stablecoin Maxi sUSDS,The Stablecoin Maxi sUSDS vault,"['re7-labs', 'mev-capital', 'k3']"
ethereum,0xcf47fBe97aaE77B8ABEa5e1F59c9bcb808A8d47d,Stablecoin Maxi PT-sUSDE-27MAR2025 vault,The Stablecoin Maxi PT-sUSDE-27MAR2025 vault,"['re7-labs', 'mev-capital', 'k3']"
ethereum,0xAb254591B63138247eCcDF82170Eb64890d36b1B,Re7 Labs AUSD,The Re7 Labs AUSD vault,['re7-labs']
ethereum,0xcAd0be6e135C3d2859EA0c872cCD510C962765b7,BiLira TRYB Vault,The BiLira TRYB vault curated by Re7 Labs,['re7-labs']
ethereum,0xea0C048c728578b1510EBDF9b692E8936D6Fbc90,Re7 Labs Smart $M,The wM vault curated by Re7 Labs,['re7-labs']
ethereum,0xfaCaD9D934F17930d28b93F3C84a13BFAc73347C,Reserve USD3 Prime,Reserve Cluster USD3,"['re7-labs', 'mev-capital']"
ethereum,0xb2A8bAba27B5D45Db0a4E58275cAf62DEBca7AA2,Reserve eUSD Prime,Reserve Cluster eUSD,"['re7-labs', 'mev-capital']"
ethereum,0xc58Eac02905d34678f552c90De2D4c94bF987B12,Reserve WETH Prime,Reserve Cluster WETH,"['re7-labs', 'mev-capital']"
ethereum,0x7E8Ba73e62dc430A4Fc76E7bb4EA8de62CDe5fDc,Reserve ETH+ Prime,Reserve Cluster ETH+,"['re7-labs', 'mev-capital']"
ethereum,0x716bF454066a84F39A2F78b5707e79a9d64f1225,Swaap Lend ETH ,ETH vault of Swaap Lend cluster,['swaap-labs']
ethereum,0xf2f826c190D020A6D1EC422bF2269E63b8b315E0,Swaap Lend USDC,USDC vault of Swaap Lend cluster,['swaap-labs']
