blockchain,vault,name,description,entity
base,0x882018411Bc4A020A879CEE183441fC9fa5D7f8B,Euler Base cbBTC,A conservative cbBTC vault collateralized by other vaults in the Euler Base cluster.,euler-dao
base,0x3f0d3Fd87A42BDaa3dfCC13ADA42eA922e638a7A,Euler Base LBTC,A conservative LBTC vault collateralized by other vaults in the Euler Base cluster.,euler-dao
base,0x5Fe2DE3E565a6a501a4Ec44AAB8664b1D674ac25,Euler Base AERO,A conservative AERO vault collateralized by other vaults in the Euler Base cluster.,euler-dao
base,0x556d518FDFDCC4027A3A1388699c5E11AC201D8b,Euler Base USDS,A conservative USDS vault collateralized by other vaults in the Euler Base cluster.,euler-dao
base,0x65cFEF3Efbc5586f0c05299343b8BeFb3fF5d81a,Euler Base sUSDS,A conservative sUSDS vault collateralized by other vaults in the Euler Base cluster.,euler-dao
base,0xC063C3b3625DF5F362F60f35B0bcd98e0fa650fb,Apostro Resolv USDC vault,Part of the Apostro Resolv cluster. This vault offers A-grade safety with the lowest insolvency risk. Risk manager: apostro.xyz.,['apostro']
base,0x29Dbce367F5157B924Af5093617bb128477D7A5C,Apostro Resolv USR vault,Part of the Apostro Resolv cluster. This vault offers A-grade safety with the lowest insolvency risk. Risk manager: apostro.xyz.,['apostro']
base,0x1E2F1e8A97E96a2FDD6A8Da427603Ed1c8b3847F,Apostro Resolv cbBTC vault,Part of the Apostro Resolv cluster. This vault offers A-grade safety with the lowest insolvency risk. Risk manager: apostro.xyz.,['apostro']
base,0x3F131Ac9D408926a8B36C1e03ce105f44DCD26Af,Apostro Resolv LBTC vault,Part of the Apostro Resolv cluster. This vault offers A-grade safety with the lowest insolvency risk. Risk manager: apostro.xyz.,['apostro']
base,0x5ce15fC058E762A6F9722fC6521A0c0F5eECD9BA,Apostro Resolv PT-LBTC-29MAY2025 vault,Part of the Apostro Resolv cluster. This vault offers A-grade safety with the lowest insolvency risk. Risk manager: apostro.xyz.,['apostro']
base,0x34ABB4501419b1E5f836567C58300c861164101A,Apostro Resolv cbETH vault,Part of the Apostro Resolv cluster. This vault offers A-grade safety with the lowest insolvency risk. Risk manager: apostro.xyz.,['apostro']
base,0xEdCc195Ca09c9FCC1DD30b152C0b82045Ff2F91f,Apostro Resolv PT-USR-24APR2025 vault,Part of the Apostro Resolv cluster. This vault offers A-grade safety with the lowest insolvency risk. Risk manager: apostro.xyz.,['apostro']
base,0xaa40BD076d80F3bA18F7E09ddb1E9962c00C1047,Re7 Labs USDC,A USDC vault collateralized by other vaults in the Re7 Labs Cluster.,re7-labs
base,0x8300dE22B2c6c675C056fC75855423Ec7dC90F52,Re7 Labs WETH,A WETH vault collateralized by other vaults in the Re7 Labs Cluster.,re7-labs
base,0x5103f6C0D0aA0616C5DbAB52EcA82110322c9821,Re7 Labs wstETH,A wstETH vault collateralized by other vaults in the Re7 Labs Cluster.,re7-labs
base,0x12ebafd758c9532b02Dd57189c12A140D17D2b9E,Re7 Labs ezETH,A ezETH vault collateralized by other vaults in the Re7 Labs Cluster.,re7-labs
base,0x28CF85d1249Eb8a2988699Fd72E3B1CafAEfd17B,Re7 Labs weETH,A weETH vault collateralized by other vaults in the Re7 Labs Cluster.,re7-labs
base,0xCf033218B983d286fb3082b34c597bb408C55c0C,Re7 Labs LBTC,A LBTC vault collateralized by other vaults in the Re7 Labs Cluster.,re7-labs
base,0x9E77a118a136EEe9ec1be1D34a2C89FB0e953545,Re7 Labs USR,A USR vault collateralized by other vaults in the Re7 Labs Cluster.,re7-labs
base,0x4790BCbF34e2be50475364DACa01908eBa35e0ca,Re7 Labs cbBTC,A cbBTC vault collateralized by other vaults in the Re7 Labs Cluster.,re7-labs
base,0xbc02160f3AfdBb2fA77154b552504d7D01Bfdc2F,Re7 Labs PT-LBTC-29MAY2025,A PT-LBTC-29MAY2025 vault collateralized by other vaults in the Re7 Labs Cluster.,re7-labs
