block_number,blockchain,tx_hash,debt_vault_address,collateral_vault_address,unit_of_account,debt_token_amount,debt_price,collateral_token_amount,collateral_price,oracle_address
25880082,base,0xd1b7a7ce029e03058293ace42a268fcc2655b4542191879e784bcab2091c20cd,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x7b181d6509deabfbd1a23af1e65fd46e89572609,0x0000000000000000000000000000000000000348,2554793395.0,,8.721256555162065e+17,,0x6e183458600e66047a0f4d356d9daa480da1ca59
26382862,base,0x9e562273de0b0fefdd02473014816934c60e8632c184de72d5b1a504729e412f,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,7848556244393291.0,,21606285.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25884331,base,0x2bd2343ec82b2cec58bb452b4a8eaa1523c1559ba5ec27450758e5c10cd29385,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x882018411bc4a020a879cee183441fc9fa5d7f8b,0x0000000000000000000000000000000000000348,3843218.0,,4282.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25008964,base,0x79274b8bb566ec9e85f4faae71f30f14a2e20f3f380adc963e33827d2d91cbb6,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,5911210128022998.0,,18588208.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25855958,base,0x882036f495296c1b71bdc5b4e120298a5f29d74567a1a8516cf07b73ceec01fd,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,19907229.0,,6715536346671723.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25885877,base,0xfff2c5b27279c80478b914c4cf66fb5ce1e8fcb9bfd35a0f77673bc182391125,0x882018411bc4a020a879cee183441fc9fa5d7f8b,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,909.0,,377088249375764.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25880202,base,0x5491689c2430116cd3187ef00c3c06b1bfa52570b5d3419ce63aa74f052af259,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,19623999.0,,8462414416397161.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25008925,base,0xbce9c2274d4c896ec7fcde5fb75855d531e4596d1c6be677c2ba91c1ccfdee05,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,6794847545545088.0,,21438390.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25768483,base,0x5229ad65716a65b08234e268b07b1acbb5248913816c082a1d8ede4719894465,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,6320498172608559.0,,21257927.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
26305041,base,0x56658e682e0911d4c9dba6aa7a4be3039d873d421aaae17e2b6c40051862620c,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,6097475778180438.0,,16852238.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25880453,base,0xcf1249f0f273649a00238ce5a783833ba3a56dea0748e7341a93b3857831aa5c,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,19780739.0,,8373686011861306.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25759451,base,0x948ab4a68f9b5c6fe3668611a1cb4c68dc91a17e0e8cd9cb52905c1f1d6f459e,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,420234974214707.0,,1396927.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25855960,base,0x5e4e339c3466c1f3a66979d8b06375684d5d6313d92d26f792a891b7f89e3541,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,13141757.0,,4405503444303201.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25774184,base,0xbdcaa231c921166049e9e4c702a1e1e84230effa10f800004733c36c6303633f,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,6307972505857843.0,,21562877.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
26305131,base,0x84c038e9e86a7033bb5cf2699e072c85c1e7adbab069615ce7239d1140fe31be,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,6332843336739816.0,,17619025.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25773842,base,0xed775bcf8380d7940a5e0c86cd11bd2078d9a630e91ae1047e983f41186fec92,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,5018398511668399.0,,17057453.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25726817,base,0xa9f13724cf57420ea31e49cf48bb28097d9a8b4613d987c5b127fd8d4e7da9e7,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,6499263417305737.0,,21080391.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25008951,base,0xc6ddaac0c9189ea0818e7856a67e55f0aa91f69d02c39be0d4f73ff74c6910c5,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,8147418967264884.0,,25664101.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25880804,base,0xfe91bcb9dfbcc8cca808d5198b4b7f4f4d7c0562de7983f66b968768aadf2adf,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,19817557.0,,8080940524743971.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25855960,base,0xe766c2531272caa749bd097f559c953b33e5fd535d037e090e32899aebf4b6fd,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,22834105.0,,7585678779892274.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25870989,base,0x64c816ac4134cb55e2f8e60cafcf42f9c7073b495913a9c4db034cade5bf979f,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,19810885.0,,6765141875988240.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25091570,base,0xd9288bfecc836af0ad89be048881ffe0f5a75db57ef028566d729bb9d3ebfa17,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,7369254127980801.0,,25617651.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
21580370,ethereum,0x7972d1b40ca4584a48c3fab3a4c070e5cf070e4c41281b9673f820ac2f475a24,0x797dd80692c3b2dadabce8e30c07fde5307d48a9,0xb3b36220fa7d12f7055dab5c9fd18e860e9a6bf8,0x0000000000000000000000000000000000000348,23827980.0,23.8252455010152,8339359749728959.0,28.029700589429645,0x83b3b76873d36a28440cf53371df404c42497136
26219303,base,0xd6622c23bdcbeb47b4559da645ce8ab1626561332065ba2a9a236571c3286e8e,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,3995185.0,,1762928840817984.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25878342,base,0x951709d937ed1bf131a73ea493f0b63d5d106c80c731d753262e0ff4fec2a992,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x882018411bc4a020a879cee183441fc9fa5d7f8b,0x0000000000000000000000000000000000000348,21969838.0,,23181.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25729797,base,0xc323a3d4610cc559503b4a1613254a3f3306a60030b541c6fad8c00aa2db778b,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,6513731592436903.0,,21398121.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25863048,base,0x196db12076b81224d15e4b01f164888407b7d189ff169350eb414820a32e73d6,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,35196024.0,,1.1765650264850738e+16,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25865588,base,0x3c1b11db4764c61475c16626bfbc0e11e23d794e87bf91a76cd4bd0562a48b3c,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,17785723.0,,6130406291436606.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25879068,base,0x1f31ec221c3da383fe1089661fae1d1ad249d70d26f5252517f25944f4474de8,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x8b70a855b057ca85f38ebb2a7399d9fe0bdc1046,0x0000000000000000000000000000000000000348,11025289366.0,,3.7279926403326397e+18,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25032928,base,0x3a11fbf95dd53138598c060b3e56286b7f0232b2314a35e299799bb35a846dd9,0x882018411bc4a020a879cee183441fc9fa5d7f8b,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,20083.0,,19506351.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25080168,base,0x6adeffae2ac1aa644a76f91f7596a82334ccfaaab17bb43fa42aa575937c190d,0x3f0d3fd87a42bdaa3dfcc13ada42ea922e638a7a,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,20829.0,,20754120.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
26174104,base,0x3b34e23c835cedd208fa4f6cafbae0a79f25a803d4b99bfb2b51666de2e8e3f0,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,13559368.0,,5326039705601943.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
