filler,total_volume,last_trade_date
EJsocoaG7jUStdHCCiADqDHNVPXMZHdMFMrKjUjGdS2P,2.700090038774099e+07,2024-12-19 15:32:23.000 UTC
7LkFgcQW2wGJMqtA1b9ou7e2jNQMJ7PNExF8Fj1nQBZr,2.5921526126961008e+07,2024-12-08 04:37:09.000 UTC
9GctR7hR9sJF6vnqva7LXE8ubUUmcTj35XBDvjuLi5TC,2.5912828329585996e+07,2024-12-30 22:37:58.000 UTC
5b2BGYKskMcX8dEHNdaQuNMHYEF5wCy6cP5ND2aaf44J,2.5800234667738996e+07,2024-12-30 22:37:57.000 UTC
EEBjRSo6kNeQXpRYmxuuBcBNB4MqxmRsQaarNUJTHBL5,2.5221886988382e+07,2024-11-23 08:45:59.000 UTC
9c7LEsqvB2cA4554uXoWQL3sBPPBfcFZMMxzmXnxLs5w,2.5062427287759997e+07,2024-12-26 19:31:40.000 UTC
G8ipCTW4dn1KwYyMBuTaXWp5stYbtrjYeLA6JxrAgbQe,2.3592635101441987e+07,2024-10-09 13:39:42.000 UTC
4y89nCQCUewvVsdKv2o71Ri3frGUUJsjBdPxtJzY5FuE,2.299173391593698e+07,2024-12-30 21:41:21.000 UTC
9hR41AyjQPq2JbgxwqPqQJuk2LPd5q5ttAxnRBfLzj53,2.1988500122666992e+07,2024-12-25 02:20:57.000 UTC
3dGf3hQVxeigKzM4uL5cepQ6eEXiZVLnWQwq6cdTrYSp,1.9109261580639e+07,2024-11-24 00:10:01.000 UTC
4oTeSjNig62yD4KCehU4jkpNVYowLfaTie6LTtGbmefX,1.8820305589355003e+07,2024-11-25 16:43:50.000 UTC
FbjtPf9SGeCQp8ok66Vw8A9Pe128HBJNLQZPqZuYD3g,1.6076986610259993e+07,2024-12-30 21:45:33.000 UTC
ABf1ik4jkUeVR6w86Snc8Fwpy4AMSffRWfXETAZwYYSo,1.5090565420967007e+07,2024-12-30 21:20:31.000 UTC
7SeykJkVT24ZkuNwyYNACWj5JaLdNRjxVeBD5LAJbMmB,1.4716717199874999e+07,2024-12-30 18:30:41.000 UTC
5CY2gTxqT6NNmTHyXeAaXsKw9KNTVaUJuyyH2XdQovR,1.4133922654168002e+07,2024-11-11 23:07:22.000 UTC
6BGtdW8BCcPpwqhRom5oY2xv29WWiB6wpee4GXwLSasB,1.3713698473368004e+07,2024-12-30 22:27:55.000 UTC
4syGe3Mu1osZorc4QAz4UgkJXdK1H4omAgKC6DL5EaGn,1.2518289837483e+07,2024-11-30 00:55:25.000 UTC
EJG1VejmmKrcSTuxFFZttEwaCew9gMZWsZgwEipFqhUo,1.1480847740677996e+07,2024-12-03 17:59:20.000 UTC
63FoswS8U2qtrkbJvPtRFvu8MsFLE8DWUxxA9yqM6sRZ,1.1025234239333997e+07,2024-12-14 21:28:20.000 UTC
HXEMBWNZUDxEgc9jpEgJ82cbimdFLnD7XxABJyAwJcmz,1.0842875441194003e+07,2024-12-19 03:37:32.000 UTC
BpvefxCtY5umPRDoKvj5VDj2qQNyGP8tVieCPHUk2JKR,1.0491909130787997e+07,2024-11-14 21:41:46.000 UTC
GViKyKNzsTv75kn9Tzu9H7YGRL7sZekA1AQc72QThqSq,9.983931724798998e+06,2024-10-07 23:29:37.000 UTC
DAAzFssAixSQfywpRMwt8GfUrGp3bwQ7GWb6tamF1UGv,9.928220817685006e+06,2024-12-30 21:43:07.000 UTC
3RmvJ5qfzAy1SGt6u1AFGjRbGxYNXPP2q5jwr3fhK1vM,9.369915527149003e+06,2024-09-26 02:21:39.000 UTC
Fe2NgSBtydS7UqbAizisA65fSPoCwM9LPtNBztfZbEqR,9.346419915731996e+06,2024-10-03 14:43:55.000 UTC
GhjdfKS7rPJAJxKaVzX72nj1EyQyPGuf8Jxz3hzNgcHn,8.671297854710001e+06,2024-12-30 20:40:47.000 UTC
FW5MNfonzsTwjWWVfj13LPWkjW4ueJzA8RVk9XkZMLvH,8.480289721442e+06,2024-10-27 12:55:37.000 UTC
BX64jxJVNPaXwjb89zADBuaMdPohmFfZUSwmtHuMC3hZ,8.2594503474710025e+06,2024-12-28 14:12:28.000 UTC
AQge6hinmJmfy2WSrobWfZ97zNfzhQKwttgtxkuB1bFo,8.117737946950999e+06,2024-12-30 20:34:53.000 UTC
DKeKkEhMySWYjdvyfmkf6tz7NtBPZF8S765jPGFJZXU5,8.096734378924001e+06,2024-10-30 07:17:56.000 UTC
48TRXHqSoBUYTRUvPyPorZQPiNSdAQEg8J6b7Kepmbzh,7.996578858331004e+06,2024-12-03 01:23:58.000 UTC
4QjGxizwuSeLxa6ssPmzxGossA8YYU7cRhoquXDPwhtD,7.817865065787999e+06,2024-12-24 09:08:01.000 UTC
GpM8GM85oQD53ehiMM7VxtArXG2Rdh7Zq3jKhyytWviD,7.806425717375004e+06,2024-10-02 13:57:34.000 UTC
3xXyt5RSvTBgznmTSZXqCW9hXueuLJbbWe3quLWKQZUZ,7.586933164101002e+06,2024-12-27 10:23:57.000 UTC
EqVWHKBTuuHyubuqxeyoQg5eCg1u2aooLiCsB6kWbXsT,7.258259740114003e+06,2024-12-30 07:04:39.000 UTC
